"","experiment","method","missingness","noise","iteration","dir","file_name","median_r2","mean_r2","sd_r2","n_genes","n_methylation","n_cnv","n_edges","n_intra_edges","n_inter_edges","edge_density","clustering","betweenness_t200","time","recall_reference","precision_reference","f1_score_reference","fp_reference","fn_reference","tp_reference","r2mw.p.value_reference","recall_stability","precision_stability","f1_score_stability","fp_stability","fn_stability","tp_stability","r2mw.p.value_stability"
"2","mor","cocolasso_mor","0","0","1","/home/icb/juan.henao/lasso_benchmark/2207_bladder_cancer/2208_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0_iteration_1.csv",0.314207150261353,0.323454721694819,0.128470042420951,9557,6459,8098,52784,31692,21092,9.07782477446178e-05,0.0953235406574681,NA,81.9928851127625,1,1,1,0,0,52784,0.499999959709728,0.693733778272154,0.880279396330209,0.775952274612391,6616,21476,48646,0.0340031999433069
"12","mor","cocolasso_mor","0","0","2","/home/icb/juan.henao/lasso_benchmark/2207_bladder_cancer/2208_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0_iteration_2.csv",0.314207150261353,0.323454721694819,0.128470042420951,9557,6459,8098,52784,31692,21092,9.07782477446178e-05,0.0953235406574681,NA,82.0690801143646,1,1,1,0,0,52784,0.499999959709728,0.693733778272154,0.880279396330209,0.775952274612391,6616,21476,48646,0.0340031999433069
"23","mor","cocolasso_mor","0","0","3","/home/icb/juan.henao/lasso_benchmark/2207_bladder_cancer/2208_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0_iteration_3.csv",0.314207150261353,0.323454721694819,0.128470042420951,9557,6459,8098,52784,31692,21092,9.07782477446178e-05,0.0953235406574681,NA,81.7659254074097,1,1,1,0,0,52784,0.499999959709728,0.693733778272154,0.880279396330209,0.775952274612391,6616,21476,48646,0.0340031999433069
"34","mor","cocolasso_mor","0","0","4","/home/icb/juan.henao/lasso_benchmark/2207_bladder_cancer/2208_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0_iteration_4.csv",0.314207150261353,0.323454721694819,0.128470042420951,9557,6459,8098,52784,31692,21092,9.07782477446178e-05,0.0953235406574681,NA,82.0871286392212,1,1,1,0,0,52784,0.499999959709728,0.693733778272154,0.880279396330209,0.775952274612391,6616,21476,48646,0.0340031999433069
"45","mor","cocolasso_mor","0","0","5","/home/icb/juan.henao/lasso_benchmark/2207_bladder_cancer/2208_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0_iteration_5.csv",0.314207150261353,0.323454721694819,0.128470042420951,9557,6459,8098,52784,31692,21092,9.07782477446178e-05,0.0953235406574681,NA,82.1573932170868,1,1,1,0,0,52784,0.499999959709728,0.693733778272154,0.880279396330209,0.775952274612391,6616,21476,48646,0.0340031999433069
"3","mor","cocolasso_mor","0.1","0","1","/home/icb/juan.henao/lasso_benchmark/2207_bladder_cancer/2208_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0.1_iteration_1.csv",0.316986260638697,0.325374815663895,0.128858979412329,9542,6386,8066,52328,31384,20944,9.08964511720742e-05,0.0964497510737993,NA,454.172540664673,0.953016065474386,0.96399210470843,0.958472662836892,1879,2480,50304,0.00750352534482461,0.689184564045521,0.881252393369682,0.773473323676987,6512,21795,48327,0.26183302846756
"14","mor","cocolasso_mor","0.1","0","2","/home/icb/juan.henao/lasso_benchmark/2207_bladder_cancer/2208_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0.1_iteration_2.csv",0.316346741162825,0.324036019553547,0.128063962613487,9561,6446,8065,52372,31327,21045,9.03842693458682e-05,0.0961384378770157,NA,405.674350738525,0.950212185510761,0.961137513414073,0.955643624723725,2028,2628,50156,0.199534799103637,0.688642651379025,0.881041434800854,0.773050723999648,6520,21833,48289,0.174837102500947
"25","mor","cocolasso_mor","0.1","0","3","/home/icb/juan.henao/lasso_benchmark/2207_bladder_cancer/2208_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0.1_iteration_3.csv",0.317477506318969,0.32551497808106,0.129088251336394,9560,6433,8065,52792,31768,21024,9.12151814959741e-05,0.0958093525179856,NA,150.308531284332,0.961048802667475,0.964282319843367,0.962662845973565,1879,2056,50728,0.00434575057724718,0.692649952939163,0.879365596654174,0.774919229388537,6663,21552,48570,0.200782013023891
"36","mor","cocolasso_mor","0.1","0","4","/home/icb/juan.henao/lasso_benchmark/2207_bladder_cancer/2208_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0.1_iteration_4.csv",0.317220296472079,0.325595289201299,0.128419482846862,9557,6416,8077,52556,31537,21019,9.08678392149638e-05,0.0956348652470218,NA,387.866467237473,0.955497878144892,0.962977813418872,0.959223264040777,1939,2349,50435,0.00206549305884155,0.689498302957702,0.879648497198166,0.773052140127592,6615,21773,48349,0.140460555340181
"47","mor","cocolasso_mor","0.1","0","5","/home/icb/juan.henao/lasso_benchmark/2207_bladder_cancer/2208_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0.1_iteration_5.csv",0.317090249396093,0.325178349500855,0.128756557347313,9584,6415,8089,52726,31681,21045,9.08743610235988e-05,0.0958924855596379,NA,325.320549726486,0.955819945438012,0.96031368368959,0.958061545180923,2085,2332,50452,0.00933691975604221,0.691038475799321,0.878289712172841,0.77349274506361,6715,21665,48457,0.291952741101581
